sample_id	participant_id	species	status
PTM902-N104-2021.05.27-22.32.47_PTM902_3_0310.jpg	test	phantom	present
PTM902-N104-2021.05.27-22.32.47_PTM902_2_0311.jpg	test	phantom	present
PTM902-N104-2021.05.27-22.32.47_PTM902_1_0312.jpg	test	phantom	present
PTM902-N105-2021.05.27-22.37.29_PTM902_3_0313.jpg	test	phantom	present
PTM902-N105-2021.05.27-22.37.29_PTM902_2_0314.jpg	test	phantom	present
PTM902-N105-2021.05.27-22.37.29_PTM902_1_0315.jpg	test	phantom	present
PTM902-N106-2021.05.27-22.41.49_PTM902_3_0316.jpg	test	phantom	present
PTM902-N106-2021.05.27-22.41.49_PTM902_2_0317.jpg	test	phantom	present
PTM902-N106-2021.05.27-22.41.49_PTM902_1_0318.jpg	test	phantom	present
PTM902-N107-2021.05.27-22.46.21_PTM902_3_0319.jpg	test	phantom	present
PTM902-N107-2021.05.27-22.46.21_PTM902_2_0320.jpg	test	phantom	present
PTM902-N107-2021.05.27-22.46.21_PTM902_1_0321.jpg	test	phantom	present
PTM902-N108-2021.05.27-22.50.56_PTM902_3_0322.jpg	test	phantom	present
PTM902-N108-2021.05.27-22.50.56_PTM902_2_0323.jpg	test	phantom	present
PTM902-N108-2021.05.27-22.50.56_PTM902_1_0324.jpg	test	phantom	present
PTM902-N109-2021.05.27-22.55.22_PTM902_3_0325.jpg	test	phantom	present
PTM902-N109-2021.05.27-22.55.22_PTM902_2_0326.jpg	test	phantom	present
PTM902-N109-2021.05.27-22.55.22_PTM902_1_0327.jpg	test	phantom	present
